Entity,Year,Deaths - Ambient ozone pollution
China,1990,35.26596634
China,1991,34.93007362
China,1992,34.19946773
China,1993,33.4255452
China,1994,32.60220434
China,1995,31.29706563
China,1996,30.14065646
China,1997,28.88413838
China,1998,27.79806008
China,1999,26.13882381
China,2000,24.76396843
China,2001,23.40094174
China,2002,22.41332431
China,2003,21.51923278
China,2004,20.34640018
China,2005,18.81807997
China,2006,16.99842339
China,2007,15.79962997
China,2008,15.10124343
China,2009,14.66165491
China,2010,14.23117899
China,2011,13.52286667
China,2012,12.758636
China,2013,11.86164993
China,2014,11.50372952
China,2015,11.31656996
China,2016,11.14419971
China,2017,11.12328257
India,1990,25.47961556
India,1991,25.35209046
India,1992,25.13918652
India,1993,24.44859043
India,1994,23.94979162
India,1995,23.45043203
India,1996,23.23483096
India,1997,23.86289906
India,1998,23.78555771
India,1999,22.60855203
India,2000,22.01384091
India,2001,21.48203716
India,2002,20.66904052
India,2003,19.68744314
India,2004,18.33405531
India,2005,17.74714619
India,2006,17.73231614
India,2007,17.65238261
India,2008,17.56901479
India,2009,17.42650946
India,2010,17.35808832
India,2011,17.24161216
India,2012,17.08529654
India,2013,17.04707944
India,2014,17.13038182
India,2015,17.21184181
India,2016,17.30746985
India,2017,17.24029291
Indonesia,1990,2.678875162
Indonesia,1991,2.68357706
Indonesia,1992,2.685554488
Indonesia,1993,2.682485048
Indonesia,1994,2.680069022
Indonesia,1995,2.687864473
Indonesia,1996,2.707860634
Indonesia,1997,2.738885909
Indonesia,1998,2.765936519
Indonesia,1999,2.767897288
Indonesia,2000,2.74497499
Indonesia,2001,2.736434152
Indonesia,2002,2.745570627
Indonesia,2003,2.772518119
Indonesia,2004,2.810172374
Indonesia,2005,2.847739318
Indonesia,2006,2.899994901
Indonesia,2007,2.970566269
Indonesia,2008,2.888071531
Indonesia,2009,2.851090299
Indonesia,2010,2.834764968
Indonesia,2011,2.836762427
Indonesia,2012,2.811305865
Indonesia,2013,2.7923174
Indonesia,2014,2.776877601
Indonesia,2015,2.83499688
Indonesia,2016,2.889666607
Indonesia,2017,2.95382923
Japan,1990,2.342718813
Japan,1991,2.315069101
Japan,1992,2.278969051
Japan,1993,2.216513965
Japan,1994,2.082181393
Japan,1995,2.018810257
Japan,1996,1.859919272
Japan,1997,1.757949903
Japan,1998,1.729947983
Japan,1999,1.707141551
Japan,2000,1.609843033
Japan,2001,1.55117297
Japan,2002,1.498468039
Japan,2003,1.491908869
Japan,2004,1.460101751
Japan,2005,1.473485879
Japan,2006,1.425501407
Japan,2007,1.406578417
Japan,2008,1.389760963
Japan,2009,1.369037458
Japan,2010,1.370977727
Japan,2011,1.378663172
Japan,2012,1.340733553
Japan,2013,1.318587377
