Entity,Year,Deaths - Ambient particulate matter pollution 
China,1990,56.10672095
China,1991,57.73257106
China,1992,58.39779785
China,1993,58.86001311
China,1994,59.0800089
China,1995,59.03278118
China,1996,59.584994
China,1997,59.69854302
China,1998,59.91803596
China,1999,59.13798965
China,2000,58.79216263
China,2001,58.83775978
China,2002,59.60034938
China,2003,60.52764037
China,2004,60.54620082
China,2005,59.10375148
China,2006,56.85837956
China,2007,56.03075192
China,2008,56.48274198
China,2009,57.52544269
China,2010,58.41215079
China,2011,58.74084548
China,2012,55.39028458
China,2013,54.17601016
China,2014,52.51894496
China,2015,52.65894616
China,2016,49.44868338
China,2017,49.36714161
India,1990,57.50013738
India,1991,58.19447381
India,1992,59.06068754
India,1993,58.52832731
India,1994,58.33405819
India,1995,57.99822631
India,1996,58.72916473
India,1997,60.90171584
India,1998,61.08673332
India,1999,59.53922189
India,2000,59.89763133
India,2001,60.63677137
India,2002,60.50093146
India,2003,60.12170186
India,2004,58.48269229
India,2005,59.04292356
India,2006,60.68585825
India,2007,62.09905385
India,2008,63.57544251
India,2009,64.4532424
India,2010,65.61668922
India,2011,67.17222334
India,2012,64.7749227
India,2013,67.21948114
India,2014,67.90689588
India,2015,69.48516009
India,2016,70.13195309
India,2017,70.80343542
Indonesia,1990,18.27466268
Indonesia,1991,18.81017234
Indonesia,1992,19.30395389
Indonesia,1993,19.75644184
Indonesia,1994,20.24605822
Indonesia,1995,20.67515646
Indonesia,1996,21.32480239
Indonesia,1997,21.93830683
Indonesia,1998,22.38350948
Indonesia,1999,22.67277145
Indonesia,2000,22.93153941
Indonesia,2001,23.42145945
Indonesia,2002,24.05283429
Indonesia,2003,24.58227787
Indonesia,2004,25.03172712
Indonesia,2005,25.25219382
Indonesia,2006,25.63332656
Indonesia,2007,25.88593705
Indonesia,2008,26.04898388
Indonesia,2009,26.07364463
Indonesia,2010,26.00533388
Indonesia,2011,26.29022981
Indonesia,2012,26.81973994
Indonesia,2013,25.9600564
Indonesia,2014,25.91222009
Indonesia,2015,26.76759351
Indonesia,2016,26.96032519
Indonesia,2017,27.45885025
Japan,1990,22.66605766
Japan,1991,22.31299869
Japan,1992,21.94299044
Japan,1993,21.41783565
Japan,1994,20.41377529
Japan,1995,20.04751813
Japan,1996,18.81515965
Japan,1997,17.98298573
Japan,1998,17.75327037
Japan,1999,17.43243701
Japan,2000,16.41623972
Japan,2001,15.81247399
Japan,2002,15.27893565
Japan,2003,15.13580616
Japan,2004,14.77629976
Japan,2005,14.74846475
Japan,2006,14.26703502
Japan,2007,13.97840853
Japan,2008,13.67772647
Japan,2009,13.32022403
Japan,2010,13.1437929
Japan,2011,13.09878147
Japan,2012,12.11130007
Japan,2013,11.9288151
Japan,2014,11.16843083
Japan,2015,10.8679657
Japan,2016,10.25140981
Japan,2017,10.29293607
Malaysia,1990,43.51609089
Malaysia,1991,45.7732904
Malaysia,1992,47.56962029
Malaysia,1993,48.79160976
Malaysia,1994,49.8480052
Malaysia,1995,52.1676574
Malaysia,1996,53.21293951
Malaysia,1997,53.28406123
Malaysia,1998,53.44005547
Malaysia,1999,55.10607519
Malaysia,2000,56.22014864
Malaysia,2001,56.37201433
Malaysia,2002,57.00254201
Malaysia,2003,58.26557087
Malaysia,2004,57.05211392
Malaysia,2005,54.81213805
Malaysia,2006,53.60459805
Malaysia,2007,52.84044368
Malaysia,2008,53.57797485
Malaysia,2009,54.22532364
Malaysia,2010,52.5337408
Malaysia,2011,50.61693416
Malaysia,2012,50.18014281
Malaysia,2013,47.08504339
Malaysia,2014,47.22927112
Malaysia,2015,48.67199419
Malaysia,2016,45.96913654
Malaysia,2017,46.8584811
Philippines,1990,32.23215209
Philippines,1991,32.24909145
Philippines,1992,32.84748753
Philippines,1993,32.51805183
Philippines,1994,32.67597349
Philippines,1995,33.43542207
Philippines,1996,33.71529223
Philippines,1997,34.19149167
Philippines,1998,34.4105332
Philippines,1999,34.57169818
Philippines,2000,35.22029085
Philippines,2001,36.17642613
Philippines,2002,36.74772998
Philippines,2003,36.73424258
Philippines,2004,37.06365582
Philippines,2005,37.68564023
Philippines,2006,38.02154146
Philippines,2007,38.20915597
Philippines,2008,39.04132168
Philippines,2009,39.53516868
Philippines,2010,39.78885916
Philippines,2011,39.17172975
Philippines,2012,40.19733561
Philippines,2013,38.85957132
Philippines,2014,37.76923489
Philippines,2015,37.57018163
Philippines,2016,35.81542581
Philippines,2017,35.51927631
Singapore,1990,48.94275233
Singapore,1991,47.56497656
Singapore,1992,46.48254268
Singapore,1993,45.67666107
Singapore,1994,45.29359608
Singapore,1995,44.74805194
Singapore,1996,42.99101204
Singapore,1997,40.9087484
Singapore,1998,39.93183711
Singapore,1999,38.518622
Singapore,2000,37.40170324
Singapore,2001,36.7386453
Singapore,2002,35.77900824
Singapore,2003,33.65187143
Singapore,2004,33.31414686
Singapore,2005,32.51624624
Singapore,2006,30.95557998
Singapore,2007,29.55849822
Singapore,2008,28.4512626
Singapore,2009,26.07137556
Singapore,2010,24.77334267
Singapore,2011,23.30822028
Singapore,2012,23.49568054
Singapore,2013,21.27908244
Singapore,2014,19.74290312
Singapore,2015,21.06079462
Singapore,2016,19.28639988
Singapore,2017,19.29837689
South Korea,1990,50.35067595
South Korea,1991,49.01232088
South Korea,1992,46.01137684
South Korea,1993,44.37260469
South Korea,1994,43.64748453
South Korea,1995,41.2443626
South Korea,1996,39.44216647
South Korea,1997,38.65912529
South Korea,1998,38.58224
South Korea,1999,38.74899746
South Korea,2000,38.5116214
South Korea,2001,37.13907266
South Korea,2002,36.35785091
South Korea,2003,35.28425619
South Korea,2004,33.95512791
South Korea,2005,32.37586892
South Korea,2006,30.61913583
South Korea,2007,29.12594434
South Korea,2008,27.67502697
South Korea,2009,26.49694778
South Korea,2010,25.79701368
South Korea,2011,25.33876682
South Korea,2012,24.24684694
South Korea,2013,23.69472488
South Korea,2014,22.01184825
South Korea,2015,21.93546854
South Korea,2016,20.32948503
South Korea,2017,20.12307511
Thailand,1990,25.01308433
Thailand,1991,26.02373834
Thailand,1992,26.78142332
Thailand,1993,27.72972348
Thailand,1994,27.83571369
Thailand,1995,28.01083981
Thailand,1996,28.78706075
Thailand,1997,27.20460959
Thailand,1998,26.6392423
Thailand,1999,27.50410377
Thailand,2000,27.25260745
Thailand,2001,26.58208112
Thailand,2002,27.11810804
Thailand,2003,26.88055136
Thailand,2004,27.01637907
Thailand,2005,26.91013525
Thailand,2006,27.08649769
Thailand,2007,27.17304643
Thailand,2008,27.201155
Thailand,2009,26.56307958
Thailand,2010,26.93233416
Thailand,2011,27.03483755
Thailand,2012,26.74849353
Thailand,2013,26.15342835
Thailand,2014,25.57697197
Thailand,2015,24.86486705
Thailand,2016,25.10817068
Thailand,2017,25.44783111
Vietnam,1990,22.66395045
Vietnam,1991,22.8321456
Vietnam,1992,23.16371231
Vietnam,1993,23.3527145
Vietnam,1994,23.67662769
Vietnam,1995,23.91494925
Vietnam,1996,24.32562342
Vietnam,1997,24.7086442
Vietnam,1998,25.28292012
Vietnam,1999,25.87065082
Vietnam,2000,26.35967371
Vietnam,2001,27.33182801
Vietnam,2002,27.99968376
Vietnam,2003,28.84801575
Vietnam,2004,29.40096411
Vietnam,2005,30.06904389
Vietnam,2006,30.91450002
Vietnam,2007,31.89723976
Vietnam,2008,32.63693765
Vietnam,2009,33.24162674
Vietnam,2010,33.94940758
Vietnam,2011,34.09534519
Vietnam,2012,34.09253155
Vietnam,2013,34.64317057
Vietnam,2014,34.2589516
Vietnam,2015,33.39513215
Vietnam,2016,32.54695136
Vietnam,2017,32.80021105
