Entity,Year,Deaths - Household air pollution from solid fuels 
China,1990,107.9676631
China,1991,103.7580384
China,1992,98.86168494
China,1993,93.71119513
China,1994,88.67163037
China,1995,82.99206899
China,1996,77.68883463
China,1997,72.53077244
China,1998,68.03976434
China,1999,63.11287863
China,2000,59.16331665
China,2001,54.86002285
China,2002,51.58104866
China,2003,48.49132649
China,2004,44.85315781
China,2005,40.54073594
China,2006,35.48316873
China,2007,31.90986901
China,2008,29.46463845
China,2009,27.47181132
China,2010,25.5415733
China,2011,23.32188305
China,2012,22.14462291
China,2013,19.88822877
China,2014,18.92032327
China,2015,18.12006266
China,2016,17.76558436
China,2017,15.8036408
India,1990,140.8730779
India,1991,138.3624564
India,1992,135.4592091
India,1993,129.9631982
India,1994,125.2039879
India,1995,120.4602404
India,1996,116.9742171
India,1997,118.4147857
India,1998,115.7786685
India,1999,108.7074339
India,2000,104.2116619
India,2001,100.4868618
India,2002,95.93894398
India,2003,90.17141116
India,2004,83.10844344
India,2005,79.95637144
India,2006,78.13371455
India,2007,76.24102733
India,2008,74.0337825
India,2009,71.73601914
India,2010,69.91364359
India,2011,67.91702867
India,2012,67.30176052
India,2013,63.05610188
India,2014,59.79324068
India,2015,56.86405701
India,2016,54.36284385
India,2017,51.02743957
Indonesia,1990,88.25724381
Indonesia,1991,84.51206547
Indonesia,1992,80.79516082
Indonesia,1993,77.53947491
Indonesia,1994,74.12516478
Indonesia,1995,71.10146806
Indonesia,1996,68.45900123
Indonesia,1997,66.27636056
Indonesia,1998,64.85032673
Indonesia,1999,63.33322158
Indonesia,2000,61.79964843
Indonesia,2001,60.67203102
Indonesia,2002,59.64517166
Indonesia,2003,58.75196283
Indonesia,2004,57.76007718
Indonesia,2005,56.65422409
Indonesia,2006,55.64966511
Indonesia,2007,54.46560017
Indonesia,2008,53.18364833
Indonesia,2009,51.66095994
Indonesia,2010,49.81686929
Indonesia,2011,47.96029027
Indonesia,2012,45.87203764
Indonesia,2013,44.15636198
Indonesia,2014,42.39438199
Indonesia,2015,40.44046642
Indonesia,2016,38.48003028
Indonesia,2017,36.49701995
Japan,1990,0.378993369
Japan,1991,0.303482206
Japan,1992,0.242070761
Japan,1993,0.19195808
Japan,1994,0.148091101
Japan,1995,0.11700945
Japan,1996,0.097558722
Japan,1997,0.082551186
Japan,1998,0.071531038
Japan,1999,0.068176019
Japan,2000,0.062271718
Japan,2001,0.058192228
Japan,2002,0.054210352
Japan,2003,0.051707298
Japan,2004,0.048822391
Japan,2005,0.047103873
Japan,2006,0.044251774
Japan,2007,0.041937373
Japan,2008,0.04000492
Japan,2009,0.037821127
Japan,2010,0.036326707
Japan,2011,0.035117806
Japan,2012,0.033476699
Japan,2013,0.031377429
Japan,2014,0.029991867
Japan,2015,0.027849988
Japan,2016,0.027411797
Japan,2017,0.026306511
Malaysia,1990,29.09385161
Malaysia,1991,27.01649832
Malaysia,1992,24.79579549
Malaysia,1993,22.16285048
Malaysia,1994,19.99057666
Malaysia,1995,18.17411861
Malaysia,1996,15.86706194
Malaysia,1997,13.80171748
Malaysia,1998,11.77224251
Malaysia,1999,10.27638576
Malaysia,2000,9.242140711
Malaysia,2001,8.131127406
Malaysia,2002,6.955498038
Malaysia,2003,6.017590565
Malaysia,2004,5.716993617
Malaysia,2005,5.41882428
Malaysia,2006,5.02135615
Malaysia,2007,4.726707954
Malaysia,2008,4.544030685
Malaysia,2009,4.465314444
Malaysia,2010,4.152876618
Malaysia,2011,3.61162455
Malaysia,2012,3.269528915
Malaysia,2013,3.022388421
Malaysia,2014,2.856470435
Malaysia,2015,2.57074083
Malaysia,2016,2.45518357
Malaysia,2017,2.190019631
Philippines,1990,84.58819921
Philippines,1991,80.06537692
Philippines,1992,79.3737418
Philippines,1993,74.51387364
Philippines,1994,72.07869123
Philippines,1995,70.88143164
Philippines,1996,68.61689043
Philippines,1997,67.16203013
Philippines,1998,65.75429915
Philippines,1999,65.14179571
Philippines,2000,65.66306368
Philippines,2001,67.01648344
Philippines,2002,68.05429296
Philippines,2003,68.93155327
Philippines,2004,70.62877483
Philippines,2005,73.17052595
Philippines,2006,74.4641291
Philippines,2007,75.30685786
Philippines,2008,77.21673421
Philippines,2009,78.9253047
Philippines,2010,79.42307969
Philippines,2011,80.18990776
Philippines,2012,78.83388961
Philippines,2013,77.99052881
Philippines,2014,76.7086198
Philippines,2015,75.61110021
Philippines,2016,72.880674
Philippines,2017,70.18225729
Singapore,1990,2.895368416
Singapore,1991,2.161778384
Singapore,1992,1.663402058
Singapore,1993,1.275941623
Singapore,1994,0.965974819
Singapore,1995,0.719566875
Singapore,1996,0.564040168
Singapore,1997,0.451990263
Singapore,1998,0.370029036
Singapore,1999,0.323802523
Singapore,2000,0.287848045
Singapore,2001,0.244487111
Singapore,2002,0.212888955
Singapore,2003,0.178268795
Singapore,2004,0.161549667
Singapore,2005,0.14180586
Singapore,2006,0.126206486
Singapore,2007,0.10815663
Singapore,2008,0.094301494
Singapore,2009,0.078484266
Singapore,2010,0.069951422
Singapore,2011,0.064137235
Singapore,2012,0.056579125
Singapore,2013,0.051788339
Singapore,2014,0.048777569
Singapore,2015,0.041458397
Singapore,2016,0.038372383
Singapore,2017,0.035673999
South Korea,1990,1.827314128
South Korea,1991,1.31747528
South Korea,1992,0.921334001
South Korea,1993,0.653194792
South Korea,1994,0.463990645
South Korea,1995,0.318724618
South Korea,1996,0.241227859
South Korea,1997,0.186627961
South Korea,1998,0.147942564
South Korea,1999,0.129450981
South Korea,2000,0.113639206
South Korea,2001,0.093418959
South Korea,2002,0.081022046
South Korea,2003,0.068667663
South Korea,2004,0.059814194
South Korea,2005,0.050991517
South Korea,2006,0.043427132
South Korea,2007,0.037266515
South Korea,2008,0.032330797
South Korea,2009,0.02839175
South Korea,2010,0.026121467
South Korea,2011,0.023338775
South Korea,2012,0.022230826
South Korea,2013,0.019361372
South Korea,2014,0.018094333
South Korea,2015,0.016493103
South Korea,2016,0.015850735
South Korea,2017,0.015175744
Thailand,1990,54.17449949
Thailand,1991,51.86650515
Thailand,1992,50.00329094
Thailand,1993,48.3143435
Thailand,1994,45.35889382
Thailand,1995,42.50257438
Thailand,1996,40.33500898
Thailand,1997,36.03973379
Thailand,1998,33.08256076
Thailand,1999,32.19490213
Thailand,2000,29.73395887
Thailand,2001,26.19168434
Thailand,2002,24.61315297
Thailand,2003,22.55507847
Thailand,2004,20.85282587
Thailand,2005,19.47350605
Thailand,2006,17.87445181
Thailand,2007,16.4692494
Thailand,2008,15.01113229
Thailand,2009,13.62397833
